,attempted_passes,boxscore_index,completed_passes,completion_percentage,fumbles,fumbles_lost,fumbles_lost_per_attempt,fumbles_per_attempt,interceptions_per_attempt,interceptions_per_completion,interceptions_thrown,longest_pass,longest_rush,passing_TDs_per_attempt,passing_TDs_per_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,passing_yards_per_completion,quarterback_rating,rush_attempts,rush_touchdowns,rush_yards,times_sacked,times_sacked_per_attempt,yards_lost_from_sacks
BradTo00,25,201401110nwe,13,52.0,1,0,0.0,0.04,0.0,0.0,0,53,-1,0.0,0.0,0,198,7.92,15.23076923076923,78.4,1,0,-1,2,0.08,13
BradTo00,38,201401190den,24,63.1578947368421,0,0,0.0,0.0,0.0,0.0,0,27,8,0.02631578947368421,0.041666666666666664,1,277,7.2894736842105265,11.541666666666666,93.9,2,1,7,2,0.05263157894736842,21
BradTo00,56,201409070mia,29,51.78571428571429,2,2,0.03571428571428571,0.03571428571428571,0.0,0.0,0,44,3,0.017857142857142856,0.034482758620689655,1,249,4.446428571428571,8.586206896551724,69.7,1,0,3,4,0.07142857142857142,23
BradTo00,21,201409140min,14,66.66666666666666,0,0,0.0,0.0,0.0,0.0,0,44,0,0.047619047619047616,0.07142857142857142,1,149,7.095238095238095,10.642857142857142,103.1,1,0,0,1,0.047619047619047616,7
BradTo00,37,201409210nwe,24,64.86486486486487,1,0,0.0,0.02702702702702703,0.0,0.0,0,22,-2,0.02702702702702703,0.041666666666666664,1,234,6.324324324324325,9.75,91.5,3,0,-7,2,0.05405405405405406,13
BradTo00,23,201409290kan,14,60.86956521739131,2,1,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.14285714285714285,2,44,0,0.043478260869565216,0.07142857142857142,1,159,6.913043478260869,11.357142857142858,59.9,0,0,0,2,0.08695652173913043,8
BradTo00,35,201410050nwe,23,65.71428571428571,0,0,0.0,0.0,0.0,0.0,0,30,6,0.05714285714285714,0.08695652173913043,2,292,8.342857142857143,12.695652173913043,110.7,4,0,13,1,0.02857142857142857,7
BradTo00,37,201410120buf,27,72.97297297297297,0,0,0.0,0.0,0.0,0.0,0,56,4,0.10810810810810811,0.14814814814814814,4,361,9.756756756756756,13.37037037037037,139.6,4,0,3,2,0.05405405405405406,15
BradTo00,37,201410160nwe,20,54.054054054054056,0,0,0.0,0.0,0.0,0.0,0,49,0,0.08108108108108109,0.15,3,261,7.054054054054054,13.05,103.5,0,0,0,1,0.02702702702702703,1
BradTo00,35,201410260nwe,30,85.71428571428571,1,0,0.0,0.02857142857142857,0.0,0.0,0,46,0,0.14285714285714285,0.16666666666666666,5,354,10.114285714285714,11.8,148.4,2,0,0,0,0.0,0
BradTo00,53,201411020nwe,33,62.264150943396224,0,0,0.0,0.0,0.018867924528301886,0.030303030303030304,1,26,4,0.07547169811320754,0.12121212121212122,4,333,6.283018867924528,10.090909090909092,97.4,2,0,4,1,0.018867924528301886,1
